Code,Description
T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
T820,Mechanical complication of heart valve prosthesis
T821,Mechanical complication of cardiac electronic device
T822,Mechanical complication of coronary artery bypass and valve grafts
T823,Mechanical complication of other vascular grafts
T824,Mechanical complication of vascular dialysis catheter
T825,Mechanical complication of other cardiac and vascular devices and implants
T826,Infection and inflammatory reaction due to cardiac valve prosthesis
T827,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
T828,"Other specified complications of cardiac and vascular prosthetic devices, implants and grafts"
T829,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft"
T83,"Complications of genitourinary prosthetic devices, implants and grafts"
T830,Mechanical complication of urinary (indwelling) catheter
T831,Mechanical complication of other urinary devices and implants
T832,Mechanical complication of graft of urinary organ
T833,Mechanical complication of intrauterine contraceptive device
T834,"Mechanical complication of other prosthetic devices, implants and grafts in genital tract"
T835,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
T836,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract"
T838,"Other complications of genitourinary prosthetic devices, implants and grafts"
T839,"Unspecified complication of genitourinary prosthetic device, implant and graft"
T84,"Complications of internal orthopaedic prosthetic devices, implants and grafts"
T840,Mechanical complication of internal joint prosthesis
T841,Mechanical complication of internal fixation device of bones of limb
T842,Mechanical complication of internal fixation device of other bones
T843,"Mechanical complication of other bone devices, implants and grafts"
T844,"Mechanical complication of other internal orthopaedic devices, implants and grafts"
T845,Infection and inflammatory reaction due to internal joint prosthesis
T846,Infection and inflammatory reaction due to internal fixation device [any site]
T847,"Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts"
T848,"Other complications of internal orthopaedic prosthetic devices, implants and grafts"
T849,"Unspecified complication of internal orthopaedic prosthetic device, implant and graft"
T85,"Complications of other internal prosthetic devices, implants and grafts"
T850,Mechanical complication of ventricular intracranial (communicating) shunt
T851,Mechanical complication of implanted electronic stimulator of nervous system
T852,Mechanical complication of intraocular lens
T853,"Mechanical complication of other ocular prosthetic devices, implants and grafts"
T854,Mechanical complication of breast prosthesis and implant
T855,"Mechanical complication of gastrointestinal prosthetic devices, implants and grafts"
T856,"Mechanical complication of other specified internal prosthetic devices, implants and grafts"
T857,"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts"
T858,"Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified"
T859,"Unspecified complication of internal prosthetic device, implant and graft"
T86,Failure and rejection of transplanted organs and tissues
T860,Bone-marrow transplant rejection
T861,Kidney transplant failure and rejection
T862,Heart transplant failure and rejection
T863,Heart-lung transplant failure and rejection
T864,Liver transplant failure and rejection
T868,Failure and rejection of other transplanted organs and tissues
T869,Failure and rejection of unspecified transplanted organ and tissue
T87,Complications peculiar to reattachment and amputation
T870,Complications of reattached (part of) upper extremity
T871,Complications of reattached (part of) lower extremity
T872,Complications of other reattached body part
T873,Neuroma of amputation stump
T874,Infection of amputation stump
T875,Necrosis of amputation stump
T876,Other and unspecified complications of amputation stump
T88,"Other complications of surgical and medical care, not elsewhere classified"
T880,Infection following immunization
T881,"Other complications following immunization, not elsewhere classified"
T882,Shock due to anaesthesia
T883,Malignant hyperthermia due to anaesthesia
T884,Failed or difficult intubation
T885,Other complications of anaesthesia
T886,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered
T887,Unspecified adverse effect of drug or medicament
T888,"Other specified complications of surgical and medical care, not elsewhere classified"
T889,"Complication of surgical and medical care, unspecified"
T90,Sequelae of injuries of head
T900,Sequelae of superficial injury of head
T901,Sequelae of open wound of head
T902,Sequelae of fracture of skull and facial bones
T903,Sequelae of injury of cranial nerves
T904,Sequelae of injury of eye and orbit
T905,Sequelae of intracranial injury
T908,Sequelae of other specified injuries of head
T909,Sequelae of unspecified injury of head
T91,Sequelae of injuries of neck and trunk
T910,Sequelae of superficial injury and open wound of neck and trunk
T911,Sequelae of fracture of spine
T912,Sequelae of other fracture of thorax and pelvis
T913,Sequelae of injury of spinal cord
T914,Sequelae of injury of intrathoracic organs
T915,Sequelae of injury of intra-abdominal and pelvic organs
T918,Sequelae of other specified injuries of neck and trunk
T919,Sequelae of unspecified injury of neck and trunk
T92,Sequelae of injuries of upper limb
T920,Sequelae of open wound of upper limb
T921,Sequelae of fracture of arm
T922,Sequelae of fracture at wrist and hand level
T923,"Sequelae of dislocation, sprain and strain of upper limb"
T924,Sequelae of injury of nerve of upper limb
T925,Sequelae of injury of muscle and tendon of upper limb
T926,Sequelae of crushing injury and traumatic amputation of upper limb
T928,Sequelae of other specified injuries of upper limb
T929,Sequelae of unspecified injury of upper limb
T93,Sequelae of injuries of lower limb
T930,Sequelae of open wound of lower limb
T931,Sequelae of fracture of femur
T932,Sequelae of other fractures of lower limb
T933,"Sequelae of dislocation, sprain and strain of lower limb"
T934,Sequelae of injury of nerve of lower limb
T935,Sequelae of injury of muscle and tendon of lower limb
T936,Sequelae of crushing injury and traumatic amputation of lower limb
T938,Sequelae of other specified injuries of lower limb
T939,Sequelae of unspecified injury of lower limb
T94,Sequelae of injuries involving multiple and unspecified body regions
T940,Sequelae of injuries involving multiple body regions
T941,"Sequelae of injuries, not specified by body region"
T95,"Sequelae of burns, corrosions and frostbite"
T950,"Sequelae of burn, corrosion and frostbite of head and neck"
T951,"Sequelae of burn, corrosion and frostbite of trunk"
T952,"Sequelae of burn, corrosion and frostbite of upper limb"
T953,"Sequelae of burn, corrosion and frostbite of lower limb"
T954,Sequelae of burn and corrosion classifiable only according to extent of body surface involved
T958,"Sequelae of other specified burn, corrosion and frostbite"
T959,"Sequelae of unspecified burn, corrosion and frostbite"
T96X,"Sequelae of poisoning by drugs, medicaments and biological substances"
T97X,Sequelae of toxic effects of substances chiefly nonmedicinal as to source
T98,Sequelae of other and unspecified effects of external causes
T980,Sequelae of effects of foreign body entering through natural orifice
T981,Sequelae of other and unspecified effects of external causes
T982,Sequelae of certain early complications of trauma
T983,"Sequelae of complications of surgical and medical care, not elsewhere classified"
V01,Pedestrian injured in collision with pedal cycle
V010,Pedestrian injured in collision with pedal cycle
V011,Pedestrian injured in collision with pedal cycle
V019,Pedestrian injured in collision with pedal cycle
V02,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V020,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V021,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V029,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V03,"Pedestrian injured in collision with car, pick-up truck or van"
V030,"Pedestrian injured in collision with car, pick-up truck or van"
V031,"Pedestrian injured in collision with car, pick-up truck or van"
V039,"Pedestrian injured in collision with car, pick-up truck or van"
V04,Pedestrian injured in collision with heavy transport vehicle or bus
V040,Pedestrian injured in collision with heavy transport vehicle or bus
V041,Pedestrian injured in collision with heavy transport vehicle or bus
V049,Pedestrian injured in collision with heavy transport vehicle or bus
V05,Pedestrian injured in collision with railway train or railway vehicle
V050,Pedestrian injured in collision with railway train or railway vehicle
V051,Pedestrian injured in collision with railway train or railway vehicle
V059,Pedestrian injured in collision with railway train or railway vehicle
V06,Pedestrian injured in collision with other nonmotor vehicle
V060,Pedestrian injured in collision with other nonmotor vehicle
V061,Pedestrian injured in collision with other nonmotor vehicle
V069,Pedestrian injured in collision with other nonmotor vehicle
V09,Pedestrian injured in other and unspecified transport accidents
V090,Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles
V091,Pedestrian injured in unspecified nontraffic accident
V092,Pedestrian injured in traffic accident involving other and unspecified motor vehicles
V093,Pedestrian injured in unspecified traffic accident
V099,Pedestrian injured in unspecified transport accident
V10,Pedal cyclist injured in collision with pedestrian or animal
V100,Pedal cyclist injured in collision with pedestrian or animal
V101,Pedal cyclist injured in collision with pedestrian or animal
V102,Pedal cyclist injured in collision with pedestrian or animal
V103,Pedal cyclist injured in collision with pedestrian or animal
V104,Pedal cyclist injured in collision with pedestrian or animal
V105,Pedal cyclist injured in collision with pedestrian or animal
V109,Pedal cyclist injured in collision with pedestrian or animal
V11,Pedal cyclist injured in collision with other pedal cycle
V110,Pedal cyclist injured in collision with other pedal cycle
V111,Pedal cyclist injured in collision with other pedal cycle
V112,Pedal cyclist injured in collision with other pedal cycle
V113,Pedal cyclist injured in collision with other pedal cycle
V114,Pedal cyclist injured in collision with other pedal cycle
V115,Pedal cyclist injured in collision with other pedal cycle
V119,Pedal cyclist injured in collision with other pedal cycle
V12,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V120,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V121,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V122,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V123,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V124,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V125,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V129,Pedal cyclist injured in collision with two- or three-wheeled motor vehicle
V13,"Pedal cyclist injured in collision with car, pick-up truck or van"
V130,"Pedal cyclist injured in collision with car, pick-up truck or van"
V131,"Pedal cyclist injured in collision with car, pick-up truck or van"
V132,"Pedal cyclist injured in collision with car, pick-up truck or van"
V133,"Pedal cyclist injured in collision with car, pick-up truck or van"
V134,"Pedal cyclist injured in collision with car, pick-up truck or van"
V135,"Pedal cyclist injured in collision with car, pick-up truck or van"
V139,"Pedal cyclist injured in collision with car, pick-up truck or van"
V14,Pedal cyclist injured in collision with heavy transport vehicle or bus
V140,Pedal cyclist injured in collision with heavy transport vehicle or bus
V141,Pedal cyclist injured in collision with heavy transport vehicle or bus
V142,Pedal cyclist injured in collision with heavy transport vehicle or bus
V143,Pedal cyclist injured in collision with heavy transport vehicle or bus
V144,Pedal cyclist injured in collision with heavy transport vehicle or bus
V145,Pedal cyclist injured in collision with heavy transport vehicle or bus
V149,Pedal cyclist injured in collision with heavy transport vehicle or bus
V15,Pedal cyclist injured in collision with railway train or railway vehicle
V150,Pedal cyclist injured in collision with railway train or railway vehicle
V151,Pedal cyclist injured in collision with railway train or railway vehicle
V152,Pedal cyclist injured in collision with railway train or railway vehicle
V153,Pedal cyclist injured in collision with railway train or railway vehicle
V154,Pedal cyclist injured in collision with railway train or railway vehicle
V155,Pedal cyclist injured in collision with railway train or railway vehicle
V159,Pedal cyclist injured in collision with railway train or railway vehicle
V16,Pedal cyclist injured in collision with other nonmotor vehicle
V160,Pedal cyclist injured in collision with other nonmotor vehicle
V161,Pedal cyclist injured in collision with other nonmotor vehicle
V162,Pedal cyclist injured in collision with other nonmotor vehicle
V163,Pedal cyclist injured in collision with other nonmotor vehicle
V164,Pedal cyclist injured in collision with other nonmotor vehicle
V165,Pedal cyclist injured in collision with other nonmotor vehicle
V169,Pedal cyclist injured in collision with other nonmotor vehicle
V17,Pedal cyclist injured in collision with fixed or stationary object
V170,Pedal cyclist injured in collision with fixed or stationary object
V171,Pedal cyclist injured in collision with fixed or stationary object
V172,Pedal cyclist injured in collision with fixed or stationary object
V173,Pedal cyclist injured in collision with fixed or stationary object
V174,Pedal cyclist injured in collision with fixed or stationary object
V175,Pedal cyclist injured in collision with fixed or stationary object
V179,Pedal cyclist injured in collision with fixed or stationary object
V18,Pedal cyclist injured in noncollision transport accident
V180,Pedal cyclist injured in noncollision transport accident
V181,Pedal cyclist injured in noncollision transport accident
V182,Pedal cyclist injured in noncollision transport accident
V183,Pedal cyclist injured in noncollision transport accident
V184,Pedal cyclist injured in noncollision transport accident
V185,Pedal cyclist injured in noncollision transport accident
V189,Pedal cyclist injured in noncollision transport accident
V19,Pedal cyclist injured in other and unspecified transport accidents
V190,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
V191,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
V192,Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in nontraffic accident
V193,Pedal cyclist [any] injured in unspecified nontraffic accident
V194,Driver injured in collision with other and unspecified motor vehicles in traffic accident
V195,Passenger injured in collision with other and unspecified motor vehicles in traffic accident
V196,Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident
V198,Pedal cyclist [any] injured in other specified transport accidents
V199,Pedal cyclist [any] injured in unspecified traffic accident
V20,Motorcycle rider injured in collision with pedestrian or animal
V200,Motorcycle rider injured in collision with pedestrian or animal
V201,Motorcycle rider injured in collision with pedestrian or animal
V202,Motorcycle rider injured in collision with pedestrian or animal
V203,Motorcycle rider injured in collision with pedestrian or animal
V204,Motorcycle rider injured in collision with pedestrian or animal
V205,Motorcycle rider injured in collision with pedestrian or animal
V209,Motorcycle rider injured in collision with pedestrian or animal
V21,Motorcycle rider injured in collision with pedal cycle
V210,Motorcycle rider injured in collision with pedal cycle
V211,Motorcycle rider injured in collision with pedal cycle
V212,Motorcycle rider injured in collision with pedal cycle
V213,Motorcycle rider injured in collision with pedal cycle
V214,Motorcycle rider injured in collision with pedal cycle
V215,Motorcycle rider injured in collision with pedal cycle
V219,Motorcycle rider injured in collision with pedal cycle
V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V220,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V221,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V222,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V223,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V224,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V225,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V229,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
V230,"Motorcycle rider injured in collision with car, pick-up truck or van"
V231,"Motorcycle rider injured in collision with car, pick-up truck or van"
V232,"Motorcycle rider injured in collision with car, pick-up truck or van"
V233,"Motorcycle rider injured in collision with car, pick-up truck or van"
V234,"Motorcycle rider injured in collision with car, pick-up truck or van"
V235,"Motorcycle rider injured in collision with car, pick-up truck or van"
V239,"Motorcycle rider injured in collision with car, pick-up truck or van"
V24,Motorcycle rider injured in collision with heavy transport vehicle or bus
V240,Motorcycle rider injured in collision with heavy transport vehicle or bus
V241,Motorcycle rider injured in collision with heavy transport vehicle or bus
V242,Motorcycle rider injured in collision with heavy transport vehicle or bus
V243,Motorcycle rider injured in collision with heavy transport vehicle or bus
V244,Motorcycle rider injured in collision with heavy transport vehicle or bus
V245,Motorcycle rider injured in collision with heavy transport vehicle or bus
V249,Motorcycle rider injured in collision with heavy transport vehicle or bus
V25,Motorcycle rider injured in collision with railway train or railway vehicle
V250,Motorcycle rider injured in collision with railway train or railway vehicle
V251,Motorcycle rider injured in collision with railway train or railway vehicle
V252,Motorcycle rider injured in collision with railway train or railway vehicle
V253,Motorcycle rider injured in collision with railway train or railway vehicle
V254,Motorcycle rider injured in collision with railway train or railway vehicle
V255,Motorcycle rider injured in collision with railway train or railway vehicle
V259,Motorcycle rider injured in collision with railway train or railway vehicle
V26,Motorcycle rider injured in collision with other nonmotor vehicle
V260,Motorcycle rider injured in collision with other nonmotor vehicle
V261,Motorcycle rider injured in collision with other nonmotor vehicle
V262,Motorcycle rider injured in collision with other nonmotor vehicle
V263,Motorcycle rider injured in collision with other nonmotor vehicle
V264,Motorcycle rider injured in collision with other nonmotor vehicle
V265,Motorcycle rider injured in collision with other nonmotor vehicle
V269,Motorcycle rider injured in collision with other nonmotor vehicle
V27,Motorcycle rider injured in collision with fixed or stationary object
V270,Motorcycle rider injured in collision with fixed or stationary object
V271,Motorcycle rider injured in collision with fixed or stationary object
V272,Motorcycle rider injured in collision with fixed or stationary object
V273,Motorcycle rider injured in collision with fixed or stationary object
V274,Motorcycle rider injured in collision with fixed or stationary object
V275,Motorcycle rider injured in collision with fixed or stationary object
V279,Motorcycle rider injured in collision with fixed or stationary object
V28,Motorcycle rider injured in noncollision transport accident
V280,Motorcycle rider injured in noncollision transport accident
V281,Motorcycle rider injured in noncollision transport accident
V282,Motorcycle rider injured in noncollision transport accident
V283,Motorcycle rider injured in noncollision transport accident
V284,Motorcycle rider injured in noncollision transport accident
V285,Motorcycle rider injured in noncollision transport accident
V289,Motorcycle rider injured in noncollision transport accident
V29,Motorcycle rider injured in other and unspecified transport accidents
V290,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
V291,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
V292,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident
V293,Motorcycle rider [any] injured in unspecified nontraffic accident
V294,Driver injured in collision with other and unspecified motor vehicles in traffic accident
V295,Passenger injured in collision with other and unspecified motor vehicles in traffic accident
V296,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident
V298,Motorcycle rider [any] injured in other specified transport accidents
V299,Motorcycle rider [any] injured in unspecified traffic accident
V30,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V300,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V301,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V302,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V303,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V304,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V305,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V306,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V307,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V309,Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal
V31,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V310,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V311,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V312,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V313,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V314,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V315,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V316,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V317,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V319,Occupant of three-wheeled motor vehicle injured in collision with pedal cycle
V32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V320,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V321,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V322,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V323,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V324,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V325,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V326,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V327,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V329,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle
V33,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V330,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V331,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V332,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V333,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V334,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V335,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V336,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V337,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V339,"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van"
V34,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V340,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V341,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V342,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V343,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V344,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V345,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V346,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V347,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V349,Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus
V35,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V350,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V351,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V352,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V353,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V354,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V355,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V356,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V357,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V359,Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle
V36,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V360,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V361,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V362,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V363,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V364,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V365,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V366,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V367,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V369,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle
V37,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V370,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V371,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V372,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V373,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V374,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V375,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V376,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V377,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V379,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object
V38,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V380,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V381,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V382,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V383,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V384,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V385,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V386,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V387,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V389,Occupant of three-wheeled motor vehicle injured in noncollision transport accident
V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
V390,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
V391,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
V392,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V393,Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident
V394,Driver injured in collision with other and unspecified motor vehicles in traffic accident
V395,Passenger injured in collision with other and unspecified motor vehicles in traffic accident
V396,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V398,Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents
V399,Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident
V40,Car occupant injured in collision with pedestrian or animal
V400,Car occupant injured in collision with pedestrian or animal
V401,Car occupant injured in collision with pedestrian or animal
V402,Car occupant injured in collision with pedestrian or animal
V403,Car occupant injured in collision with pedestrian or animal
V404,Car occupant injured in collision with pedestrian or animal
V405,Car occupant injured in collision with pedestrian or animal
V406,Car occupant injured in collision with pedestrian or animal
V407,Car occupant injured in collision with pedestrian or animal
V409,Car occupant injured in collision with pedestrian or animal
V41,Car occupant injured in collision with pedal cycle
V410,Car occupant injured in collision with pedal cycle
V411,Car occupant injured in collision with pedal cycle
V412,Car occupant injured in collision with pedal cycle
V413,Car occupant injured in collision with pedal cycle
V414,Car occupant injured in collision with pedal cycle
V415,Car occupant injured in collision with pedal cycle
V416,Car occupant injured in collision with pedal cycle
V417,Car occupant injured in collision with pedal cycle
V419,Car occupant injured in collision with pedal cycle
V42,Car occupant injured in collision with two- or three-wheeled motor vehicle
V420,Car occupant injured in collision with two- or three-wheeled motor vehicle
V421,Car occupant injured in collision with two- or three-wheeled motor vehicle
V422,Car occupant injured in collision with two- or three-wheeled motor vehicle
V423,Car occupant injured in collision with two- or three-wheeled motor vehicle
V424,Car occupant injured in collision with two- or three-wheeled motor vehicle
V425,Car occupant injured in collision with two- or three-wheeled motor vehicle
V426,Car occupant injured in collision with two- or three-wheeled motor vehicle
V427,Car occupant injured in collision with two- or three-wheeled motor vehicle
V429,Car occupant injured in collision with two- or three-wheeled motor vehicle
V43,"Car occupant injured in collision with car, pick-up truck or van"
V430,"Car occupant injured in collision with car, pick-up truck or van"
V431,"Car occupant injured in collision with car, pick-up truck or van"
V432,"Car occupant injured in collision with car, pick-up truck or van"
V433,"Car occupant injured in collision with car, pick-up truck or van"
V434,"Car occupant injured in collision with car, pick-up truck or van"
V435,"Car occupant injured in collision with car, pick-up truck or van"
V436,"Car occupant injured in collision with car, pick-up truck or van"
V437,"Car occupant injured in collision with car, pick-up truck or van"
V439,"Car occupant injured in collision with car, pick-up truck or van"
V44,Car occupant injured in collision with heavy transport vehicle or bus
V440,Car occupant injured in collision with heavy transport vehicle or bus
V441,Car occupant injured in collision with heavy transport vehicle or bus
V442,Car occupant injured in collision with heavy transport vehicle or bus
V443,Car occupant injured in collision with heavy transport vehicle or bus
V444,Car occupant injured in collision with heavy transport vehicle or bus
V445,Car occupant injured in collision with heavy transport vehicle or bus
V446,Car occupant injured in collision with heavy transport vehicle or bus
V447,Car occupant injured in collision with heavy transport vehicle or bus
V449,Car occupant injured in collision with heavy transport vehicle or bus
V45,Car occupant injured in collision with railway train or railway vehicle
V450,Car occupant injured in collision with railway train or railway vehicle
V451,Car occupant injured in collision with railway train or railway vehicle
V452,Car occupant injured in collision with railway train or railway vehicle
V453,Car occupant injured in collision with railway train or railway vehicle
V454,Car occupant injured in collision with railway train or railway vehicle
V455,Car occupant injured in collision with railway train or railway vehicle
V456,Car occupant injured in collision with railway train or railway vehicle
V457,Car occupant injured in collision with railway train or railway vehicle
V459,Car occupant injured in collision with railway train or railway vehicle
V46,Car occupant injured in collision with other nonmotor vehicle
V460,Car occupant injured in collision with other nonmotor vehicle
V461,Car occupant injured in collision with other nonmotor vehicle
V462,Car occupant injured in collision with other nonmotor vehicle
V463,Car occupant injured in collision with other nonmotor vehicle
V464,Car occupant injured in collision with other nonmotor vehicle
V465,Car occupant injured in collision with other nonmotor vehicle
V466,Car occupant injured in collision with other nonmotor vehicle
V467,Car occupant injured in collision with other nonmotor vehicle
V469,Car occupant injured in collision with other nonmotor vehicle
V47,Car occupant injured in collision with fixed or stationary object
V470,Car occupant injured in collision with fixed or stationary object
V471,Car occupant injured in collision with fixed or stationary object
V472,Car occupant injured in collision with fixed or stationary object
